#{"t_start": 1759747852.2866573, "env_id": "None"}
r,l,t
-119705.81,200,61.35519
-118883.24,200,61.54521
-116751.39,200,62.744829
-114527.97,200,62.91458
-113650.266,200,63.058647
-119330.9,200,63.204745
-118359.29,200,63.354278
-122062.46,200,64.00042
-116010.48,200,64.133911
-118033.06,200,64.268414
-122345.29,200,64.409732
-118137.85,200,64.548117
-117986.93,200,64.686748
-120964.52,200,65.684886
-121122.83,200,65.823991
-117394.76,200,65.967679
-112119.94,200,66.103184
-112893.47,200,66.240438
-117302.9,200,66.384218
-113552.81,200,66.523738
-119762.37,200,66.657225
-112361.586,200,66.804603
-116076.4,200,66.946442
-115936.46,200,67.815546
-117538.03,200,67.994058
-112976.305,200,68.131693
-116989.93,200,68.258621
-121220.875,200,68.381706
-116405.87,200,68.514988
-114482.414,200,68.640498
-116556.734,200,68.77375
-118831.11,200,68.900413
-117129.62,200,69.027658
-117580.01,200,69.747304
-119157.71,200,69.881171
-118531.15,200,70.014622
-115985.95,200,70.150049
-121355.38,200,70.275101
-127596.49,200,70.404487
-117525.58,200,70.532589
-116491.16,200,70.67305
-112751.94,200,70.800358
-118294.805,200,70.92589
-120610.234,200,71.670003
-118266.43,200,71.791471
-118022.56,200,71.912913
-120742.586,200,72.03691
-116058.76,200,72.160248
-115333.61,200,72.283218
-117839.7,200,72.40666
-114489.13,200,72.533304
-116582.46,200,72.655764
-112145.055,200,72.78614
-115141.11,200,73.547122
-112959.29,200,73.673602
-120143.336,200,73.810117
-119282.73,200,73.94149
-117369.914,200,74.566436
-117095.31,200,74.698401
-119580.81,200,74.834625
-118643.99,200,74.969924
-117070.32,200,75.101852
-114227.09,200,75.227859
-114989.51,200,75.35924
-114516.664,200,76.117355
-119107.03,200,76.242963
-116312.67,200,76.368459
-113925.39,200,76.492008
-117351.375,200,76.617473
-116009.695,200,76.750023
-120668.055,200,76.877284
-114433.66,200,77.002663
-121000.055,200,77.125543
-120050.65,200,77.247945
-116017.54,200,77.974527
-120946.1,200,78.107641
-121350.87,200,78.23332
-117230.875,200,78.360534
-114729.89,200,78.486793
-118490.234,200,78.615176
-118496.52,200,78.741259
-116766.7,200,78.876113
-118804.28,200,79.001841
-116454.37,200,79.131333
-115879.43,200,79.885597
-115062.305,200,80.013725
-113190.805,200,80.138945
-113814.65,200,80.263341
-116626.11,200,80.39606
-113650.96,200,80.52236
-118661.87,200,80.646605
-115734.95,200,80.770976
-115479.36,200,80.895607
-119187.56,200,81.021834
-116465.71,200,81.743979
-113904.914,200,81.877182
-120178.21,200,82.00161
-112475.12,200,82.127863
-110986.266,200,82.253488
-113483.02,200,82.378395
-113220.6,200,82.502692
-113159.57,200,82.628938
-116133.18,200,82.754213
-117205.734,200,82.878512
-115463.13,200,83.005092
-113703.766,200,83.714214
-111646.93,200,83.84047
-116706.695,200,84.449085
-117098.32,200,84.575246
-117010.06,200,84.699452
-114954.375,200,84.828147
-114796.86,200,84.963687
-116681.125,200,85.13354
-119018.13,200,85.267707
-108747.766,200,85.418836
-113044.21,200,86.707431
-114045.59,200,86.869734
-106151.555,200,87.03972
-116772.31,200,87.179771
-114736.39,200,87.318027
-109750.27,200,87.472653
-116320.65,200,87.704394
-117922.63,200,87.891354
-116611.65,200,88.041092
-113134.25,200,88.179255
-118739.805,200,89.338598
-114803.234,200,89.49937
-115235.32,200,89.655783
-112989.17,200,89.803262
-114714.62,200,89.950919
-114804.7,200,90.112987
-112330.39,200,90.261474
-118526.67,200,90.466767
-115219.38,200,90.638207
-112191.07,200,90.788566
-115990.26,200,91.718281
-116156.195,200,91.854314
-111279.29,200,91.988399
-116158.43,200,92.1584
-112992.4,200,92.306173
-116582.92,200,92.452688
-112170.01,200,92.603223
-118456.18,200,92.749184
-117292.555,200,92.939508
-115523.51,200,93.090547
-118960.78,200,93.236982
-116352.74,200,94.476684
-119100.17,200,94.643245
-117986.21,200,94.809074
-114289.81,200,94.966678
-111278.375,200,95.137075
-112104.63,200,95.323182
-114570.484,200,95.490415
-112207.875,200,95.657437
-117369.07,200,95.792117
-115252.914,200,95.927614
-114781.06,200,97.154535
-117660.234,200,97.860647
-115171.81,200,97.997231
-114064.1,200,98.13128
-114428.55,200,98.270936
-113213.48,200,98.502409
-111398.66,200,98.642676
-111444.14,200,98.777711
-112963.14,200,98.913647
-116172.58,200,99.051582
-116727.42,200,100.189956
-115703.57,200,100.321173
-115831.914,200,100.535029
-116313.984,200,100.681929
-114183.75,200,100.814785
-114015.516,200,100.969108
-116550.664,200,101.131548
-113445.49,200,101.324674
-115670.05,200,101.479587
-112146.664,200,101.637601
-117985.38,200,102.466961
-112031.95,200,102.705328
-107549.0,200,102.838815
-115939.73,200,102.971728
-112589.34,200,103.219855
-111935.77,200,103.357923
-110995.984,200,103.492461
-118560.08,200,103.713244
-111683.125,200,103.840384
-119729.375,200,104.029696
-117154.42,200,104.189703
-112307.66,200,105.295428
-112919.38,200,105.44626
-110954.62,200,105.640436
-112279.945,200,105.826378
-113959.58,200,105.990547
-112361.21,200,106.161181
-113016.516,200,106.325981
-113511.89,200,106.492357
-118840.305,200,106.655793
-113253.305,200,106.8261
-116763.69,200,107.94026
-111965.516,200,108.073792
-112227.31,200,108.280371
-111355.8,200,108.432364
-114993.88,200,108.565915
-117060.54,200,108.769129
-115021.12,200,108.902978
-117339.77,200,109.042354
-114830.945,200,109.182365
-116712.17,200,109.324876
-108683.1,200,110.777763
-112352.75,200,110.915888
-113854.41,200,111.052606
-113591.88,200,111.1931
-111924.83,200,111.327725
-108065.03,200,111.461828
-114487.06,200,111.601585
-112064.95,200,111.740303
-114062.77,200,111.878642
-113124.46,200,112.024556
-113050.55,200,113.165299
-110470.266,200,113.368722
-112121.49,200,113.551082
-111585.48,200,113.695104
-114075.85,200,113.833424
-112048.86,200,113.979425
-114798.91,200,114.139151
-111728.01,200,114.274566
-118366.19,200,114.411545
-111384.85,200,114.558239
-113712.45,200,114.693955
-111736.625,200,115.574359
-115762.94,200,115.729501
-108933.38,200,115.870365
-110983.72,200,116.011339
-113303.53,200,116.167164
-116700.695,200,116.313204
-115348.79,200,116.462815
-108399.03,200,116.595799
-117085.95,200,116.736943
-113450.67,200,116.869724
-109709.04,200,117.726012
-113941.55,200,117.862737
-115222.28,200,118.003179
-117192.266,200,118.141679
-115016.17,200,118.280202
-113374.73,200,118.429253
-117671.266,200,118.587409
-113332.86,200,118.73698
-110963.98,200,118.877063
-114683.35,200,119.016262
-112886.54,200,119.916894
-113756.17,200,120.056565
-113206.74,200,120.196397
-115377.04,200,120.34803
-109657.76,200,120.489003
-109326.266,200,120.628576
-112844.21,200,120.780383
-113737.06,200,120.916951
-111826.38,200,121.061687
-113772.59,200,121.673733
-109499.26,200,122.405519
-113210.375,200,122.531132
-111911.59,200,122.658438
-110638.04,200,122.78487
-106794.48,200,122.911213
-117300.23,200,123.050272
-115796.02,200,123.178233
-110920.445,200,123.304103
-114646.76,200,123.437433
-108533.43,200,123.563711
-113449.99,200,123.693105
-111221.695,200,124.381802
-110619.5,200,124.506865
-108291.24,200,124.642239
-114848.49,200,124.766993
-112164.28,200,124.896962
-105939.79,200,125.026244
-113856.2,200,125.15981
-112805.83,200,125.288561
-107325.34,200,125.424266
-110319.13,200,125.550511
-113076.57,200,126.28425
-115015.21,200,126.445965
-112325.58,200,126.622972
-110766.516,200,126.771944
-112915.836,200,126.961089
-109193.086,200,127.104584
-109951.31,200,127.240249
-109731.5,200,127.375514
-113660.26,200,127.50984
-111107.85,200,127.644245
-109457.805,200,128.615152
-118907.73,200,128.752171
-108324.76,200,128.906872
-111428.6,200,129.042651
-113010.94,200,129.181771
-113722.195,200,129.319845
-109785.24,200,129.460281
-111316.445,200,129.603144
-107812.625,200,129.742988
-115313.26,200,129.880252
-110550.016,200,130.867804
-112323.42,200,131.025483
-107858.49,200,131.167229
-108334.68,200,131.308859
-107094.93,200,131.461323
-103623.9,200,131.604098
-114579.98,200,131.745627
-107079.66,200,131.880759
-112847.77,200,132.49612
-108018.24,200,132.625724
-109613.305,200,133.396495
-113701.58,200,133.532356
-111916.164,200,133.67591
-110091.77,200,133.818659
-116739.51,200,133.965558
